"","ID_unique","campaign","date","site","flow_state","transect","start_time","end_time","water_temp_C","water_pH","water_conductivity_us_cm","DO_mg_L","DO_.","canopy_cover_.","wetted_width_m","discharge_m3_s","mean_velocity_m_s","mean_depth_cm","LML_coarse","LML_fine","k_day_coarse","k_day_fine","k_dday_coarse","k_dday_fine","OM_stock_g_m2","OM_flux_g_m2_s","sed_OM_percent","CO2_C_mg_m2_h","CH4_C_mg_m2_h","temp_C","DailyMeanWaterTemp_C","lat","lon","masl","Distance_to_source_km","dist_ds_dam_km","bedrock","boulder","cobble","pebble_gravel","fine_substrate","season","position","position_d"
"1","2022-05-30_TA01_1","1","2022-05-30","TA01","flowing","1","13:55","14:00",13.1,7.6,62.8,9.87,100,0,11,1.45,0.636,23.8,0.672805951013012,0.336076211400715,0.0687080545027909,0.026323844733282,0.00408624219356972,0.00156554578388981,4.1872278215051,0.00135132478076676,1.161591489,15.2185434538224,0.130874561326195,21,17.7708333333333,45.393628,2.554685,491,33.540255,16.928021,0,5,40,54,1,"Spring","downstream","downstream"
"2","2022-05-30_TA01_2","1","2022-05-30","TA01","flowing","2","14:04","14:09",13.1,7.6,62.8,9.87,100,0,14,0.457,0.195,18.94,0.672805951013012,0.336076211400715,0.0687080545027909,0.026323844733282,0.00408624219356972,0.00156554578388981,4.1872278215051,0.00135132478076676,1.161591489,17.6540520059519,0.170263280705907,21,17.7708333333333,45.393628,2.554685,491,33.540255,16.928021,0,5,40,54,1,"Spring","downstream","downstream"
"3","2022-05-30_TA01_3","1","2022-05-30","TA01","flowing","3","14:28","14:33",13.1,7.6,62.8,9.87,100,0,12.25,0.436,0.095,43.42,0.672805951013012,0.336076211400715,0.0687080545027909,0.026323844733282,0.00408624219356972,0.00156554578388981,4.1872278215051,0.00135132478076676,1.161591489,24.4603329397839,0.272873702125187,20,17.7708333333333,45.393628,2.554685,491,33.540255,16.928021,0,5,40,54,1,"Spring","downstream","downstream"
"4","2022-05-30_TA01_4","1","2022-05-30","TA01","flowing","4","14:42","14:47",13.1,7.6,62.8,9.87,100,5,12.3,1.3,0.354,33.5,0.672805951013012,0.336076211400715,0.0687080545027909,0.026323844733282,0.00408624219356972,0.00156554578388981,4.1872278215051,0.00135132478076676,1.161591489,22.2157565686601,0.236539233587539,20,17.7708333333333,45.393628,2.554685,491,33.540255,16.928021,0,5,40,54,1,"Spring","downstream","downstream"
"5","2022-05-30_TA01_5","1","2022-05-30","TA01","flowing","5","14:56","15:01",13.1,7.6,62.8,9.87,100,20,9.65,1.12,0.423,31.7,0.672805951013012,0.336076211400715,0.0687080545027909,0.026323844733282,0.00408624219356972,0.00156554578388981,4.1872278215051,0.00135132478076676,1.161591489,29.867717146028,0.429309188885562,20,17.7708333333333,45.393628,2.554685,491,33.540255,16.928021,0,5,40,54,1,"Spring","downstream","downstream"
"6","2022-05-30_TA01_6","1","2022-05-30","TA01","flowing","6","15:07","15:12",13.1,7.6,62.8,9.87,100,0,8.8,0.484,0.194,40.4,0.672805951013012,0.336076211400715,0.0687080545027909,0.026323844733282,0.00408624219356972,0.00156554578388981,4.1872278215051,0.00135132478076676,1.161591489,9.30601884687047,0.13927336675472,20,17.7708333333333,45.393628,2.554685,491,33.540255,16.928021,0,5,40,54,1,"Spring","downstream","downstream"
"7","2022-05-30_TA02_1","1","2022-05-30","TA02","flowing","1","17:40","17:45",14,7.71,61.5,9.4,99,50,14.2,1.86,0.446,33.2,0.559162708733603,0.382172943379864,0.0489860834206722,0.0301302324072932,0.00293357723907068,0.00180437703579797,15.5254121050199,0.000333517269070334,1.334546557,22.7888890407499,0.0999200767575112,25,19.4791666666667,45.43663611,2.602747222,699,26.005156,9.392922,0,70,20,10,0,"Spring","downstream","downstream"
"8","2022-05-30_TA02_2","1","2022-05-30","TA02","flowing","2","17:57","18:02",14,7.71,61.5,9.4,99,90,13.2,1,0.293,30,0.559162708733603,0.382172943379864,0.0489860834206722,0.0301302324072932,0.00293357723907068,0.00180437703579797,15.5254121050199,0.000333517269070334,1.334546557,5.19513951620701,0.0102449848941215,25,19.4791666666667,45.43663611,2.602747222,699,26.005156,9.392922,0,70,20,10,0,"Spring","downstream","downstream"
"9","2022-05-30_TA02_3","1","2022-05-30","TA02","flowing","3","18:16","18:21",14,7.71,61.5,9.4,99,0,11.4,0.771,0.27,29.2,0.559162708733603,0.382172943379864,0.0489860834206722,0.0301302324072932,0.00293357723907068,0.00180437703579797,15.5254121050199,0.000333517269070334,1.334546557,17.920692211622,0.0533981976554597,25,19.4791666666667,45.43663611,2.602747222,699,26.005156,9.392922,0,70,20,10,0,"Spring","downstream","downstream"
"10","2022-05-30_TA02_4","1","2022-05-30","TA02","flowing","4","18:40","18:45",14,7.71,61.5,9.4,99,60,12,0.508,0.133,37.3,0.559162708733603,0.382172943379864,0.0489860834206722,0.0301302324072932,0.00293357723907068,0.00180437703579797,15.5254121050199,0.000333517269070334,1.334546557,5.65683331822781,0.00899841153746554,19,19.4791666666667,45.43663611,2.602747222,699,26.005156,9.392922,0,70,20,10,0,"Spring","downstream","downstream"
"11","2022-05-30_TA02_5","1","2022-05-30","TA02","flowing","5","18:51","18:56",14,7.71,61.5,9.4,99,0,12.6,0.955,0.304,28.9,0.559162708733603,0.382172943379864,0.0489860834206722,0.0301302324072932,0.00293357723907068,0.00180437703579797,15.5254121050199,0.000333517269070334,1.334546557,17.5450590157164,0.0279667512531521,19,19.4791666666667,45.43663611,2.602747222,699,26.005156,9.392922,0,70,20,10,0,"Spring","downstream","downstream"
"12","2022-05-30_TA02_6","1","2022-05-30","TA02","flowing","6","19:00","19:05",14,7.71,61.5,9.4,99,0,9.7,0.601,0.105,69.2,0.559162708733603,0.382172943379864,0.0489860834206722,0.0301302324072932,0.00293357723907068,0.00180437703579797,15.5254121050199,0.000333517269070334,1.334546557,5.58759002294998,0.00365409027609078,19,19.4791666666667,45.43663611,2.602747222,699,26.005156,9.392922,0,70,20,10,0,"Spring","downstream","downstream"
"13","2022-05-31_TA03_1","1","2022-05-31","TA03","flowing","1","16:45","16:50",11.6,7.85,61.8,10.02,100.9,15,8.6,0.92,0.347,36,0.521794929703378,0.449591003768504,0.0457775302961778,0.0384102895645931,0.00290747132546018,0.00243955527502543,3.01481574317068,0.00285097614787745,1.22268045,-5.31635077158454,0.0278463435523115,14.5,12.2291666666667,45.43725833,2.656105278,818,20.365745,3.753511,0,50,25,25,0,"Spring","downstream","downstream"
"14","2022-05-31_TA03_2","1","2022-05-31","TA03","flowing","2","16:58","17:03",11.6,7.85,61.8,10.02,100.9,20,7.1,0.962,0.285,55,0.521794929703378,0.449591003768504,0.0457775302961778,0.0384102895645931,0.00290747132546018,0.00243955527502543,3.01481574317068,0.00285097614787745,1.22268045,-0.524667677300773,0.00409787660758032,16,12.2291666666667,45.43725833,2.656105278,818,20.365745,3.753511,0,50,25,25,0,"Spring","downstream","downstream"
"15","2022-05-31_TA03_3","1","2022-05-31","TA03","flowing","3","17:13","17:18",11.6,7.85,61.8,10.02,100.9,80,9.3,0.838,0.524,20.6,0.521794929703378,0.449591003768504,0.0457775302961778,0.0384102895645931,0.00290747132546018,0.00243955527502543,3.01481574317068,0.00285097614787745,1.22268045,0.503668533408345,0.0347932501996066,16,12.2291666666667,45.43725833,2.656105278,818,20.365745,3.753511,0,50,25,25,0,"Spring","downstream","downstream"
"16","2022-05-31_TA03_4","1","2022-05-31","TA03","flowing","4","17:29","17:34",11.6,7.85,61.8,10.02,100.9,0,12.4,1.15,0.373,28.8,0.521794929703378,0.449591003768504,0.0457775302961778,0.0384102895645931,0.00290747132546018,0.00243955527502543,3.01481574317068,0.00285097614787745,1.22268045,1.60597945519223,0.0607400378933265,16,12.2291666666667,45.43725833,2.656105278,818,20.365745,3.753511,0,50,25,25,0,"Spring","downstream","downstream"
"17","2022-05-31_TA03_5","1","2022-05-31","TA03","flowing","5","17:48","17:53",11.6,7.85,61.8,10.02,100.9,0,15.8,0.866,0.294,21.5,0.521794929703378,0.449591003768504,0.0457775302961778,0.0384102895645931,0.00290747132546018,0.00243955527502543,3.01481574317068,0.00285097614787745,1.22268045,5.77013258649537,0.0853009279454269,16,12.2291666666667,45.43725833,2.656105278,818,20.365745,3.753511,0,50,25,25,0,"Spring","downstream","downstream"
"18","2022-05-31_TA03_6","1","2022-05-31","TA03","flowing","6","18:07","18:12",11.6,7.85,61.8,10.02,100.9,0,15.8,0.866,0.294,21.5,0.521794929703378,0.449591003768504,0.0457775302961778,0.0384102895645931,0.00290747132546018,0.00243955527502543,3.01481574317068,0.00285097614787745,1.22268045,3.89215917931927,0.0164965657277688,15,12.2291666666667,45.43725833,2.656105278,818,20.365745,3.753511,0,50,25,25,0,"Spring","downstream","downstream"
"19","2022-05-31_TA04_1","1","2022-05-31","TA04","flowing","1","09:56","10:01",10.6,7.66,69.5,9.84,98,0,10.3,0.184,0.107,19.6,0.64184196118049,0.387015266666211,0.0748133094561198,0.0322845818127742,0.00470031263598659,0.00202835068980781,4.44566534040671,0.00300274860770359,1.547177183,32.2505376353161,2.45509336715146,12,11.5416666666667,45.43828405,2.687311053,892,16.177027,0.10871,0,35,30,30,5,"Spring","downstream","downstream"
"20","2022-05-31_TA04_2","1","2022-05-31","TA04","flowing","2","10:07","10:12",10.6,7.66,69.5,9.84,98,15,6.2,0.29,0.122,45,0.64184196118049,0.387015266666211,0.0748133094561198,0.0322845818127742,0.00470031263598659,0.00202835068980781,4.44566534040671,0.00300274860770359,1.547177183,23.6555208050095,1.70976349910963,12,11.5416666666667,45.43828405,2.687311053,892,16.177027,0.10871,0,35,30,30,5,"Spring","downstream","downstream"
"21","2022-05-31_TA04_3","1","2022-05-31","TA04","flowing","3","10:28","10:33",10.6,7.66,69.5,9.84,98,15,4.9,0.327,0.27,28.6,0.64184196118049,0.387015266666211,0.0748133094561198,0.0322845818127742,0.00470031263598659,0.00202835068980781,4.44566534040671,0.00300274860770359,1.547177183,49.8481470165281,4.63500343951338,12,11.5416666666667,45.43828405,2.687311053,892,16.177027,0.10871,0,35,30,30,5,"Spring","downstream","downstream"
"22","2022-05-31_TA04_4","1","2022-05-31","TA04","flowing","4","10:55:30","11:00:30",10.6,7.66,69.5,9.84,98,30,4.4,0.374,0.405,25.4,0.64184196118049,0.387015266666211,0.0748133094561198,0.0322845818127742,0.00470031263598659,0.00202835068980781,4.44566534040671,0.00300274860770359,1.547177183,4.43536893055485,0.292186884249509,12.5,11.5416666666667,45.43828405,2.687311053,892,16.177027,0.10871,0,35,30,30,5,"Spring","downstream","downstream"
